DataOwnerCode |OperationDate |LinePlanningNumber |JourneyNumber |FortifyOrderNumber |UserStopOrderNumber |UserStopCode |LocalServiceLevelCode |JourneyPatternCode |LineDirection |LastUpdateTimeStamp       |DestinationCode |IsTimingStop |ExpectedArrivalTime |ExpectedDepartureTime |TripStopStatus |MessageContent |MessageType |SideCode |NumberOfCoaches |WheelChairAccessible |OperatorCode |ReasonType |SubReasonType |ReasonContent |AdviceType |SubAdviceType |AdviceContent |TimingPointDataOwnerCode |TimingPointCode |JourneyStopType |TargetArrivalTime |TargetDepartureTime |RecordedArrivalTime |RecordedDepartureTime |DetectedUserStopCode |DistanceSinceDetectedUserStop |Detected_RD_X |Detected_RD_Y |VehicleNumber |BlockCode |LineVeTagNumber |VejoJourneyNumber |VehicleJourneyType |VejoBlockNumCode |JourneyModificationType |VejoDepartureTime |VejoArrivalTime |VejoTripStatusType |ExtraJourney |CancelledJourney |ShowCancelledTrip |ShowFlexibleTrip |Monitored |MonitoringError |ExtraCall |CancelledCall |ShowCancelledStop |AimedQuayRef |ExpectedQuayRef |ActualQuayRef |Occupancy |LineDestIcon |LineDestColor |LineDestTextColor
QBUZZ         |2023-05-02    |u050               |         1207 |                 0 |                 13 |    50200990 |              8748634 |            297193 |            1 |2023-05-02T21:58:29+02:00 |           2848 |           0 |22:10:19            |22:10:19              |DRIVING        |\0             |\0          |-        |              1 |UNKNOWN              |\0           |\0         |\0            |\0            |\0         |\0            |\0            |ALGEMEEN                 |       50200990 |INTERMEDIATE    |22:09:00          |22:09:00            |\0                  |\0                    |            50200990 |                          583 |\0            |\0            |         4663 |   600727 |             50 |             1207 |PUJO               |\0               |NONE                    |21:47:00          |22:14:00        |\0                 |           0 |               0 |TRUE              |FALSE            |        1 |              0 |        0 |            0 |                1 |\0           |\0              |\0            |\0        |\0           |ed1c29        |ffffff
QBUZZ         |2023-05-02    |u050               |         1207 |                 0 |                 14 |    50201010 |              8748634 |            297193 |            1 |2023-05-02T21:58:29+02:00 |           2848 |           0 |22:13:55            |22:13:55              |DRIVING        |\0             |\0          |-        |              1 |UNKNOWN              |\0           |\0         |\0            |\0            |\0         |\0            |\0            |ALGEMEEN                 |       50201010 |INTERMEDIATE    |22:13:00          |22:13:00            |\0                  |\0                    |            50201010 |                          763 |\0            |\0            |         4663 |   600727 |             50 |             1207 |PUJO               |\0               |NONE                    |21:47:00          |22:14:00        |\0                 |           0 |               0 |TRUE              |FALSE            |        1 |              0 |        0 |            0 |                1 |\0           |\0              |\0            |\0        |\0           |ed1c29        |ffffff
QBUZZ         |2023-05-02    |u050               |         1207 |                 0 |                 15 |    50201030 |              8748634 |            297193 |            1 |2023-05-02T21:58:29+02:00 |           2848 |           0 |22:14:49            |22:14:49              |DRIVING        |\0             |\0          |-        |              1 |UNKNOWN              |\0           |\0         |\0            |\0            |\0         |\0            |\0            |ALGEMEEN                 |       50201030 |INTERMEDIATE    |22:14:00          |22:14:00            |\0                  |\0                    |            50201030 |                          263 |\0            |\0            |         4663 |   600727 |             50 |             1207 |PUJO               |\0               |NONE                    |21:47:00          |22:14:00        |\0                 |           0 |               0 |TRUE              |FALSE            |        1 |              0 |        0 |            0 |                1 |\0           |\0              |\0            |\0        |\0           |ed1c29        |ffffff
QBUZZ         |2023-05-02    |u073               |         1145 |                 0 |                 30 |    50200050 |              8748651 |            338426 |            1 |2023-05-02T21:58:29+02:00 |           2860 |           0 |22:03:16            |22:03:16              |DRIVING        |\0             |\0          |-        |              1 |UNKNOWN              |\0           |\0         |\0            |\0            |\0         |\0            |\0            |ALGEMEEN                 |       50200050 |INTERMEDIATE    |21:56:00          |21:56:00            |\0                  |\0                    |            50200050 |                          989 |\0            |\0            |         3436 |   600714 |             73 |             1145 |PUJO               |\0               |NONE                    |21:12:00          |22:07:00        |\0                 |           0 |               0 |TRUE              |FALSE            |        1 |              0 |        0 |            0 |                1 |\0           |\0              |\0            |\0        |\0           |ef5597        |ffffff
QBUZZ         |2023-05-02    |m489               |         1115 |                 0 |                  9 |    53440140 |              8748877 |            228415 |            2 |2023-05-02T21:58:29+02:00 |           3344 |           0 |21:59:28            |21:59:28              |DRIVING        |\0             |\0          |-        |              1 |UNKNOWN              |\0           |\0         |\0            |\0            |\0         |\0            |\0            |ALGEMEEN                 |       53440140 |INTERMEDIATE    |21:57:00          |21:57:00            |\0                  |\0                    |            53440140 |                         1049 |\0            |\0            |         6404 |   700258 |            489 |             1115 |PUJO               |\0               |NONE                    |21:35:00          |22:19:00        |\0                 |           0 |               0 |TRUE              |FALSE            |        1 |              0 |        0 |            0 |                1 |\0           |\0              |\0            |\0        |\0           |ff0000        |ffffff
QBUZZ         |2023-05-02    |m489               |         1115 |                 0 |                 12 |    53441060 |              8748877 |            228415 |            2 |2023-05-02T21:58:29+02:00 |           3344 |           0 |22:02:10            |22:02:10              |DRIVING        |\0             |\0          |-        |              1 |UNKNOWN              |\0           |\0         |\0            |\0            |\0         |\0            |\0            |ALGEMEEN                 |       53441060 |INTERMEDIATE    |22:00:00          |22:00:00            |\0                  |\0                    |            53441060 |                          343 |\0            |\0            |         6404 |   700258 |            489 |             1115 |PUJO               |\0               |NONE                    |21:35:00          |22:19:00        |\0                 |           0 |               0 |TRUE              |FALSE            |        1 |              0 |        0 |            0 |                1 |\0           |\0              |\0            |\0        |\0           |ff0000        |ffffff
QBUZZ         |2023-05-02    |m491               |         1132 |                 0 |                 10 |    53551450 |              8748881 |            340568 |            2 |2023-05-02T21:58:29+02:00 |           3376 |           0 |22:05:08            |22:05:08              |DRIVING        |\0             |\0          |-        |              1 |UNKNOWN              |\0           |\0         |\0            |\0            |\0         |\0            |\0            |ALGEMEEN                 |       53551450 |INTERMEDIATE    |22:05:00          |22:05:00            |\0                  |\0                    |            53551450 |                          685 |\0            |\0            |         6410 |   700236 |            491 |             1132 |PUJO               |\0               |NONE                    |21:38:00          |22:21:00        |\0                 |           0 |               0 |TRUE              |FALSE            |        1 |              0 |        0 |            0 |                1 |\0           |\0              |\0            |\0        |\0           |ff0000        |ffffff
QBUZZ         |2023-05-02    |d092               |         8063 |                 0 |                 36 |    18000810 |              8751267 |            299804 |            1 |2023-05-02T21:58:29+02:00 |            690 |           0 |21:58:03            |21:58:07              |PASSED         |\0             |\0          |-        |              1 |UNKNOWN              |\0           |\0         |\0            |\0            |\0         |\0            |\0            |ALGEMEEN                 |       18000810 |INTERMEDIATE    |21:52:00          |21:52:00            |21:58:07            |21:58:28              |            18000810 |                          530 |258693        |534637        |         7226 |   315075 |             92 |             8063 |PUJO               |\0               |NONE                    |21:26:00          |21:58:00        |\0                 |           0 |               0 |TRUE              |FALSE            |        1 |              0 |        0 |            0 |                1 |\0           |\0              |\0            |\0        |\0           |\0            |\0
QBUZZ         |2023-05-02    |g554               |         8136 |                 0 |                 16 |    10007170 |              8752172 |            358056 |            2 |2023-05-02T21:58:29+02:00 |            835 |           0 |22:09:22            |22:09:22              |DRIVING        |\0             |\0          |-        |              1 |UNKNOWN              |\0           |\0         |\0            |\0            |\0         |\0            |\0            |ALGEMEEN                 |       10007170 |INTERMEDIATE    |22:08:00          |22:08:00            |\0                  |\0                    |            10007170 |                          401 |\0            |\0            |         7407 |   645198 |              4 |             8136 |PUJO               |\0               |NONE                    |21:47:00          |22:43:00        |\0                 |           0 |               0 |TRUE              |FALSE            |        1 |              0 |        0 |            0 |                1 |\0           |\0              |\0            |\0        |\0           |00BCF2        |FFFFFF
